"county","year","total_jobs","farm_jobs","all_ag_jobs","acres_total","del"
"Fresno",1980,275120,27739,48815,845586,1204920.625
"Fresno",1981,275530,27605,49975,861108,1358074.75
"Fresno",1982,277400,33592,57244,849777,1197362
"Fresno",1983,284985,37039,60133,775970,1150391.75
"Fresno",1984,289156,33661,57519,879979,1436001.75
"Fresno",1985,292647,31331,57218,886830,1229483.625
"Fresno",1986,296092,30461,55035,810505,1281128
"Fresno",1987,308325,30122,56399,862131,1386877.75
"Fresno",1988,320730,33771,59269,900026,1347544.5
"Fresno",1989,328682,33730,58476,805260,1230685.25
"Fresno",1990,342583,30377,57715,871448,802556.3125
"Fresno",1991,351296,30391,57013,824922,415304.84375
"Fresno",1992,347643,27278,53860,814244,431956.6875
"Fresno",1993,356938,29106,59654,859829,881126.25
"Fresno",1994,364559,28423,62938,880076,820165.625
"Fresno",1995,377757,29319,68724,906530,993995.5625
"Fresno",1996,384048,29981,71559,923244,1180643.5
"Fresno",1997,379589,28076,66292,908893,1351950.125
"Fresno",1998,391327,33998,71926,872188,1023078.75
"Fresno",1999,395789,34756,68874,862949,1251722.25
"Fresno",2000,404091,29849,65062,851604,984220.1875
"Fresno",2001,404438,25603,56691,849340,920440.8125
"Fresno",2002,411284,28239,57522,825988,980379.3125
"Fresno",2003,413104,27088,55704,839114,1058777.375
"Fresno",2004,417775,24006,52019,855636,1045101.75
"Fresno",2005,427016,22067,50674,825209,1059741.625
"Fresno",2006,436899,20483,49243,831340,1116348.25
"Fresno",2007,448370,21251,51122,782489,973462.75
"Fresno",2008,446189,20368,50678,737098,619107.625
"Fresno",2009,427167,19132,47102,712478,145791.40625
"Imperial",1980,45523,7836,14460,372410,0
"Imperial",1981,43663,6843,12958,345797,0
"Imperial",1982,43260,7504,13414,281033,0
"Imperial",1983,42970,7933,14288,291146,0
"Imperial",1984,42308,5995,12984,300230,0
"Imperial",1985,41051,5290,10741,295853,0
"Imperial",1986,42325,4830,11822,313556,0
"Imperial",1987,43579,4767,12022,304661,0
"Imperial",1988,47530,5337,13590,297568,0
"Imperial",1989,52145,5698,16717,298460,0
"Imperial",1990,52121,4884,15184,318071,0
"Imperial",1991,51265,4998,12355,344083,0
"Imperial",1992,52634,4213,11879,297022,0
"Imperial",1993,55335,4430,13084,291421,0
"Imperial",1994,56933,4665,13677,324745,0
"Imperial",1995,58101,5034,14630,307692,0
"Imperial",1996,58050,4905,13965,295331,0
"Imperial",1997,59914,4493,15020,303479,0
"Imperial",1998,61250,6046,15361,327252,0
"Imperial",1999,63107,7616,15837,329715,0
"Imperial",2000,60845,6059,13027,326636,0
"Imperial",2001,60515,5487,NA,347534,0
"Imperial",2002,62027,6305,11516,348568,0
"Imperial",2003,63811,5926,NA,312154,0
"Imperial",2004,63069,5226,NA,325368,0
"Imperial",2005,64610,4026,NA,331110,0
"Imperial",2006,68692,3962,NA,348701,0
"Imperial",2007,70301,3705,NA,313916,0
"Imperial",2008,70181,3329,NA,311737,0
"Imperial",2009,67115,3310,NA,264780,0
"Kern",1980,202903,21960,37219,677080,991902.8125
"Kern",1981,207514,22032,36951,690121,1448921.125
"Kern",1982,205351,15667,31034,621604,911358.375
"Kern",1983,211093,16786,32244,536414,620705.1875
"Kern",1984,217562,14688,30356,657909,1254236.75
"Kern",1985,223569,12801,29289,588853,1204618.25
"Kern",1986,227198,12013,29094,562961,906623.5625
"Kern",1987,231475,12130,29417,608249,1210744.25
"Kern",1988,243334,13712,33588,634780,1147722.5
"Kern",1989,245816,13880,31782,609877,1207946.25
"Kern",1990,253759,14018,30719,672484,959509.5
"Kern",1991,267697,15187,33530,565658,117320.6875
"Kern",1992,262789,14229,33228,591858,537729.3125
"Kern",1993,262890,16585,36302,574466,1057250.375
"Kern",1994,266806,16312,37771,585754,766693.9375
"Kern",1995,278216,19474,45358,620495,1195923.125
"Kern",1996,288670,20363,52820,609939,1208158.625
"Kern",1997,289487,19112,50793,584536,1083984.625
"Kern",1998,302663,23191,53344,576259,1073994.125
"Kern",1999,309378,23441,56733,589419,1173682.25
"Kern",2000,313765,21464,55407,600422,1153089.25
"Kern",2001,312921,18799,44268,599427,562558.1875
"Kern",2002,318447,22315,47582,581451,850146.4375
"Kern",2003,325228,22656,47278,585064,972653.75
"Kern",2004,327613,18768,43211,595530,791068.25
"Kern",2005,343831,16593,45403,575523,1445934.375
"Kern",2006,355003,14865,45049,566225,1364092.375
"Kern",2007,365625,15332,46163,571715,816819.5625
"Kern",2008,366719,14655,46982,551198,737701.25
"Kern",2009,350086,14692,40524,518430,785757.75
"Kings",1980,35016,6161,7943,351979,331487.0625
"Kings",1981,35983,5972,7558,374982,558264.25
"Kings",1982,34679,5119,6638,331795,303887.75
"Kings",1983,35641,5371,6946,232235,216272.984375
"Kings",1984,36754,5243,6971,312316,265997.625
"Kings",1985,36258,4787,6386,312636,432473.25
"Kings",1986,36047,4544,6411,272263,317385.0625
"Kings",1987,36612,4512,6244,313280,374263.03125
"Kings",1988,39367,5067,6856,335970,320780
"Kings",1989,41267,5004,6608,300642,395482
"Kings",1990,40087,4637,6414,316078,228282.625
"Kings",1991,41203,5502,6927,302159,66685.8984375
"Kings",1992,41535,5105,7407,310483,142201.328125
"Kings",1993,43577,5469,8782,320888,258766.578125
"Kings",1994,44229,5355,9026,323917,191230.5
"Kings",1995,45163,5394,8621,341629,245633.171875
"Kings",1996,47583,5617,10009,312789,445150.84375
"Kings",1997,48573,5234,10609,283424,261400.984375
"Kings",1998,47894,6024,9966,231482,233588.046875
"Kings",1999,48328,6031,9695,280545,492612.1875
